zip,lat,lon,city,state,precision
01841,42.70979,-71.16440,Lawrence,MA,coarse
01842,42.63544,-70.87912,Lawrence,MA,coarse
01843,42.71037,-71.08830,Lawrence,MA,coarse
01844,42.73184,-71.18691,Methuen,MA,coarse
01845,42.67283,-71.08769,North Andover,MA,coarse
01850,42.44640,-71.45941,Lowell,MA,coarse
01851,42.44640,-71.45941,Lowell,MA,coarse
01852,42.44640,-71.45941,Lowell,MA,coarse
01853,42.44640,-71.45941,Lowell,MA,coarse
01854,42.44640,-71.45941,Lowell,MA,coarse
01860,42.80244,-71.08960,Merrimac,MA,coarse
01862,42.44640,-71.45941,North Billerica,MA,coarse
01863,42.44640,-71.45941,North Chelmsford,MA,coarse
01864,42.58133,-71.08373,North Reading,MA,coarse
01865,42.44640,-71.45941,Nutting Lake,MA,coarse
01866,42.44640,-71.45941,Pinehurst,MA,coarse
01867,42.53706,-71.10717,Reading,MA,coarse
01876,42.44640,-71.45941,Tewksbury,MA,coarse
01879,42.44640,-71.45941,Tyngsboro,MA,coarse
01880,42.49989,-71.06883,Wakefield,MA,coarse
01885,42.63544,-70.87912,West Boxford,MA,coarse
01886,42.44640,-71.45941,Westford,MA,coarse
01887,42.56178,-71.17389,Wilmington,MA,coarse
01888,42.44640,-71.45941,Woburn,MA,coarse
01889,42.57163,-71.10965,North Reading,MA,coarse
01890,42.45455,-71.14878,Winchester,MA,coarse
01899,42.63544,-70.87912,Andover,MA,coarse
01901,42.46125,-70.94674,Lynn,MA,coarse
01902,42.47319,-70.92859,Lynn,MA,coarse
01903,42.63544,-70.87912,Lynn,MA,coarse
01904,42.48890,-70.96469,Lynn,MA,coarse
01905,42.46939,-70.97284,Lynn,MA,coarse
01906,42.47211,-70.99779,Saugus,MA,coarse
01907,42.51329,-70.90589,Swampscott,MA,coarse
01908,42.42730,-70.92244,Nahant,MA,coarse
01910,42.45480,-70.97469,Lynn,MA,coarse
01913,42.85354,-70.94821,Amesbury,MA,coarse
01915,42.56515,-70.85384,Beverly,MA,coarse
01921,42.68326,-71.01740,Boxford,MA,coarse
01922,42.76322,-70.92812,Byfield,MA,coarse
01923,42.57719,-70.94925,Danvers,MA,coarse
01929,42.62781,-70.78058,Essex,MA,coarse
01930,42.63001,-70.69418,Gloucester,MA,coarse
01931,42.63544,-70.87912,Gloucester,MA,coarse
01936,42.63544,-70.87912,Hamilton,MA,coarse
01937,42.63544,-70.87912,Hathorne,MA,coarse
01938,42.68571,-70.86413,Ipswich,MA,coarse
01940,42.53373,-71.02877,Lynnfield,MA,coarse
01944,42.57950,-70.75506,Manchester,MA,coarse
01945,42.56142,-70.77077,Marblehead,MA,coarse
01949,42.64494,-71.08791,Middleton,MA,coarse
01950,42.80965,-70.87320,Newburyport,MA,coarse
01951,42.77752,-70.86725,Newbury,MA,coarse
